,coin,exchange
45,YAK,"['Trader Joe', 'Trader Joe', 'Trader Joe', 'Trader Joe']"
46,GOAT,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
47,LUNA,"['PancakeSwap', 'Kraken', 'PancakeSwap', 'PancakeSwap', 'Kraken', 'PancakeSwap', 'OKEx', 'Bibox', 'Huobi Global']"
48,KRW,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
49,LEND,"['Balancer (v1)', 'Uniswap (v2)', 'Balancer (v1)', 'Balancer (v1)', 'Uniswap (v2)', 'Uniswap (v2)']"
50,DYNMT,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
51,FRONT,"['Binance', 'Apeswap', 'Binance', 'Binance', 'Apeswap', 'FTX', 'Binance', 'Poloniex', 'Huobi Global']"
52,UNI,"['Binance', 'CEX.IO', 'Binance', 'HitBTC', 'OKEx', 'Uniswap (v3)', 'Huobi Global', 'Uniswap (v2)', 'Bittrex', 'Uniswap (v3)', 'Uniswap (v2)', 'Balancer (v2)', 'Uniswap (v2)', 'Sushiswap', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Liquid', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v3)', 'Sushiswap', 'Uniswap (v3)', 'BeQuant', 'Binance', 'CEX.IO', 'Binance', 'Binance', 'CEX.IO', 'Binance', 'HitBTC', 'OKEx', 'Uniswap (v3)', 'Huobi Global', 'Uniswap (v2)', 'Bittrex', 'Uniswap (v3)', 'Uniswap (v2)', 'Balancer (v2)', 'Uniswap (v2)', 'Sushiswap', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Liquid', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v3)', 'Sushiswap', 'Uniswap (v3)', 'BeQuant', 'Bittrex', 'Uniswap (v2)', 'Sushiswap', 'Uniswap (v3)', 'Huobi Global', 'Uniswap (v2)', 'Uniswap (v2)', 'BtcTurk PRO', 'Uniswap (v2)', 'CEX.IO', 'Uniswap (v2)', 'Uniswap (v2)', 'CoinEgg', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Sushiswap', 'Okcoin', 'Bithumb', 'Uniswap (v2)', 'Uniswap (v3)', 'Binance US', 'Uniswap (v2)', 'BitBay', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Binance US', 'Binance']"
53,BANCA,"['HitBTC', 'HitBTC', 'HitBTC']"
54,WAVES,"['Tidex', 'Uniswap (v2)', 'Bitfinex', 'OKEx', 'Binance US', 'YoBit', 'Bittrex', 'Tidex', 'Tidex', 'Uniswap (v2)', 'Bitfinex', 'OKEx', 'Binance US', 'YoBit', 'Bittrex', 'Binance', 'YoBit', 'CoinEx', 'Uniswap (v2)', 'Bittrex', 'Uniswap (v2)']"
55,FIDA,"['Coinbase Exchange', 'Binance', 'Coinbase Exchange', 'Coinbase Exchange', 'Binance']"
56,AMP,"['Balancer (v1)', 'Balancer (v1)', 'Balancer (v1)', 'Bibox', 'Bitstamp']"
57,BCI,"['Bitfinex', 'HitBTC', 'Bitfinex', 'Bitfinex', 'HitBTC']"
58,RSR,"['Hotbit', 'Bit-Z', 'HitBTC', 'Hotbit', 'Hotbit', 'Bit-Z', 'HitBTC', 'CEX.IO', 'Liquid']"
59,CAKE,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Poloniex', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Poloniex', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'CoinEx', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Sushiswap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Apeswap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Apeswap', 'PancakeSwap']"
60,CVT,"['Poloniex', 'HitBTC', 'Poloniex', 'Poloniex', 'HitBTC', 'OKEx']"
61,ev,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
62,WRX,"['Binance', 'Binance', 'Binance', 'Apeswap', 'Binance']"
63,PIE,"['YoBit', 'YoBit', 'YoBit']"
64,MTA,"['Uniswap (v2)', 'Huobi Global', 'Uniswap (v2)', 'Uniswap (v2)', 'Huobi Global', 'Balancer (v1)', 'Uniswap (v2)', 'PancakeSwap']"
65,PITCH,"['Uniswap (v2)', 'HitBTC', 'Uniswap (v2)', 'Uniswap (v2)', 'HitBTC']"
66,IKOMP,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)']"
67,SHKOOBY,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)']"
68,USDT,"['PancakeSwap', 'PancakeSwap', 'Curve', 'PancakeSwap', 'Curve', 'PancakeSwap', 'Uniswap (v3)', 'Uniswap (v3)', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Sushiswap', 'Trader Joe', 'PancakeSwap', 'HitBTC', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Binance', 'Apeswap', 'PancakeSwap', 'Uniswap (v2)', 'PancakeSwap', 'Okcoin', 'Hotbit', 'Bittrex', 'Uniswap (v2)', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Uniswap (v2)', 'PancakeSwap', 'Uniswap (v2)', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Uniswap (v3)', 'Uniswap (v2)', 'Binance', 'PancakeSwap', 'Curve', 'Curve', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'HitBTC', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Uniswap (v2)', 'BeQuant', 'Uniswap (v3)', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Curve', 'PancakeSwap', 'Curve', 'PancakeSwap', 'Uniswap (v3)', 'Uniswap (v3)', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Sushiswap', 'Trader Joe', 'PancakeSwap', 'HitBTC', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Binance', 'Apeswap', 'PancakeSwap', 'Uniswap (v2)', 'PancakeSwap', 'Okcoin', 'Hotbit', 'Bittrex', 'Uniswap (v2)', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Uniswap (v2)', 'PancakeSwap', 'Uniswap (v2)', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Uniswap (v3)', 'Uniswap (v2)', 'Binance', 'PancakeSwap', 'Curve', 'Curve', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'HitBTC', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Uniswap (v2)', 'BeQuant', 'Uniswap (v3)', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Sushiswap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Bitlish', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Apeswap', 'PancakeSwap', 'Uniswap (v2)', 'PancakeSwap', 'Uniswap (v2)', 'PancakeSwap', 'Curve', 'Sushiswap', 'PancakeSwap', 'Uniswap (v3)', 'PancakeSwap', 'PancakeSwap', 'Uniswap (v3)', 'PancakeSwap', 'Uniswap (v2)', 'Trader Joe', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Trader Joe', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'KuCoin', 'Trader Joe', 'Apeswap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Uniswap (v2)', 'PancakeSwap', 'PancakeSwap', 'Trader Joe', 'Kraken', 'PancakeSwap', 'PancakeSwap', 'Uniswap (v3)', 'Uniswap (v2)', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'KuCoin', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Curve', 'PancakeSwap', 'Bibox', 'PancakeSwap', 'PancakeSwap', 'Bittrex', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Uniswap (v3)', 'PancakeSwap', 'PancakeSwap', 'Sushiswap', 'Sushiswap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Uniswap (v2)', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Curve', 'PancakeSwap', 'Uniswap (v2)', 'Curve', 'Uniswap (v2)', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Uniswap (v2)', 'Uniswap (v2)', 'PancakeSwap', 'PancakeSwap', 'Apeswap', 'PancakeSwap', 'PancakeSwap', 'Uniswap (v2)', 'Uniswap (v3)', 'Apeswap', 'PancakeSwap']"
69,MINT,"['Bittrex', 'Bittrex', 'Bittrex', 'PancakeSwap']"
70,STORJ,"['YoBit', 'Bitstamp', 'Kraken', 'YoBit', 'YoBit', 'Bitstamp', 'Kraken', 'HitBTC', 'HitBTC', 'Bitfinex', 'Upbit']"
71,EVU,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
72,SIMPLI,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
73,WBTC,"['SouthXchange', 'Binance', 'Uniswap (v2)', 'Uniswap (v3)', 'Currency.com', 'Uniswap (v3)', 'Uniswap (v3)', 'Sushiswap', 'Uniswap (v2)', 'Balancer (v2)', 'Korbit', 'Uniswap (v2)', 'Balancer (v2)', 'Balancer (v2)', 'Sushiswap', 'Uniswap (v2)', 'Uniswap (v2)', 'OKEx', 'Uniswap (v3)', 'Balancer (v2)', 'Balancer (v1)', 'SouthXchange', 'Binance', 'SouthXchange', 'Binance', 'Uniswap (v2)', 'Uniswap (v3)', 'Currency.com', 'Uniswap (v3)', 'Uniswap (v3)', 'Sushiswap', 'Uniswap (v2)', 'Balancer (v2)', 'Korbit', 'Uniswap (v2)', 'Balancer (v2)', 'Balancer (v2)', 'Sushiswap', 'Uniswap (v2)', 'Uniswap (v2)', 'OKEx', 'Uniswap (v3)', 'Balancer (v2)', 'Balancer (v1)', 'Sushiswap', 'SpookySwap', 'Uniswap (v3)', 'Uniswap (v2)', 'Sushiswap', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)', 'Poloniex', 'Balancer (v1)', 'Sushiswap', 'Sushiswap', 'Uniswap (v3)', 'Sushiswap', 'Uniswap (v3)', 'Curve', 'Sushiswap', 'Uniswap (v2)', 'Uniswap (v2)', 'Balancer (v1)', 'Bitfinex', 'Sushiswap', 'Sushiswap', 'Uniswap (v2)', 'SpookySwap', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Sushiswap']"
74,XLM,"['Bitstamp', 'Binance US', 'Binance', 'Bitstamp', 'Bitstamp', 'Binance US', 'Binance', 'Kraken', 'Bithumb', 'Bitfinex', 'Huobi Global', 'Binance', 'Bitfinex', 'CEX.IO']"
75,CUSDC,"['Balancer (v1)', 'Balancer (v1)', 'Balancer (v1)']"
76,TTU,"['HitBTC', 'HitBTC', 'HitBTC']"
77,LINK,"['CEX.IO', 'Uniswap (v2)', 'Uniswap (v2)', 'Balancer (v1)', 'Uniswap (v3)', 'Uniswap (v2)', 'Bittrex', 'YoBit', 'OKEx', 'HitBTC', 'Uniswap (v2)', 'Binance', 'CEX.IO', 'CEX.IO', 'Uniswap (v2)', 'Uniswap (v2)', 'Balancer (v1)', 'Uniswap (v3)', 'Uniswap (v2)', 'Bittrex', 'YoBit', 'OKEx', 'HitBTC', 'Uniswap (v2)', 'Binance', 'itBit', 'Liquid', 'YoBit', 'Sushiswap', 'Liquid', 'KuCoin', 'Uniswap (v2)', 'Trader Joe', 'Balancer (v2)', 'Sushiswap', 'Bittrex', 'Balancer (v1)', 'Sushiswap', 'Bithumb', 'Binance', 'Uniswap (v3)', 'Uniswap (v2)', 'OKEx', 'Gemini', 'Huobi Global', 'Binance', 'EXX', 'Uniswap (v2)', 'ZB', 'Sushiswap', 'Uniswap (v2)', 'Bitstamp', 'CoinEx', 'Uniswap (v2)', 'Binance', 'Trader Joe']"
78,AMB,"['Gatecoin', 'HitBTC', 'Gatecoin', 'Gatecoin', 'HitBTC', 'Gatecoin', 'Binance', 'HitBTC']"
79,ETHP,"['Trader Joe', 'Trader Joe', 'Trader Joe']"
80,TNT,"['HitBTC', 'YoBit', 'HitBTC', 'HitBTC', 'YoBit']"
81,XSP,"['YoBit', 'YoBit', 'YoBit', 'Uniswap (v2)']"
82,PAY,"['KuCoin', 'KuCoin', 'KuCoin', 'OKEx']"
83,MND,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
84,SBF,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
85,WIZ,"['HitBTC', 'HitBTC', 'HitBTC', 'HitBTC', 'HitBTC']"
86,CHZ,"['ZB', 'Binance DEX', 'FTX', 'Uniswap (v3)', 'ZB', 'ZB', 'Binance DEX', 'FTX', 'Uniswap (v3)', 'Coinbase Exchange', 'Binance', 'OKEx', 'Kraken']"
87,BAND,"['Uniswap (v2)', 'Uniswap (v2)', 'Coinbase Exchange', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Coinbase Exchange', 'Binance', 'Balancer (v1)', 'Huobi Global', 'Sushiswap', 'CoinEx', 'Binance US']"
88,NMR,"['Sushiswap', 'CoinEx', 'Binance', 'Bittrex', 'Sushiswap', 'Uniswap (v3)', 'Uniswap (v3)', 'Balancer (v1)', 'Coinbase Exchange', 'Poloniex', 'Sushiswap', 'Sushiswap', 'CoinEx', 'Binance', 'Bittrex', 'Sushiswap', 'Uniswap (v3)', 'Uniswap (v3)', 'Balancer (v1)', 'Coinbase Exchange', 'Poloniex', 'Poloniex', 'Uniswap (v2)']"
89,GRID,"['Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v2)']"
90,FUN,"['Uniswap (v2)', 'OKEx', 'Uniswap (v2)', 'Uniswap (v2)', 'OKEx', 'Uniswap (v3)', 'Ethfinex', 'EXX', 'Binance']"
91,ATO,"['SouthXchange', 'SouthXchange', 'SouthXchange']"
92,SXP,"['Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Bitstamp', 'BTC-Alpha', 'Bibox', 'PancakeSwap', 'Huobi Global', 'Upbit', 'HitBTC']"
93,1INCH,"['Uniswap (v3)', 'Uniswap (v2)', 'Balancer (v1)', 'Uniswap (v2)', 'Uniswap (v2)', 'Sushiswap', 'Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v2)', 'Balancer (v1)', 'Uniswap (v2)', 'Uniswap (v2)', 'Sushiswap', 'Bit-Z', 'Bibox', 'Coinbase Exchange', 'Uniswap (v2)']"
94,DAG,"['Hotbit', 'Hotbit', 'Hotbit', 'Hotbit', 'Hotbit']"
95,STHR,"['YoBit', 'YoBit', 'YoBit']"
96,SIGU,"['YoBit', 'YoBit', 'YoBit']"
97,KNC,"['Bitfinex', 'CoinEx', 'Sushiswap', 'Tidex', 'Huobi Global', 'Bitfinex', 'Bitfinex', 'CoinEx', 'Sushiswap', 'Tidex', 'Huobi Global', 'HitBTC', 'KuCoin', 'Bitstamp', 'CEX.IO', 'Binance', 'KuCoin', 'ZB', 'Bittrex']"
98,AION,"['KuCoin', 'KuCoin', 'KuCoin', 'Binance']"
99,BTCUI,"['Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v3)']"
100,RVR,"['Bittrex', 'Bittrex', 'Bittrex']"
101,CP,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
102,ALCH,"['Uniswap (v3)', 'Uniswap (v3)']"
103,BABYSHIBAINU,"['PancakeSwap', 'PancakeSwap']"
104,IGNIS,"['Bittrex', 'Bittrex', 'HitBTC', 'HitBTC']"
105,EPC,"['EXX', 'YoBit', 'EXX', 'YoBit']"
106,BOX,"['Ethfinex', 'Uniswap (v2)', 'Ethfinex', 'Uniswap (v2)']"
107,ZOO,"['PancakeSwap', 'SpookySwap', 'Sushiswap', 'PancakeSwap', 'SpookySwap', 'Sushiswap', 'PancakeSwap', 'Uniswap (v3)']"
108,PART,"['HitBTC', 'HitBTC']"
109,jyc,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
110,ZRX,"['Coinbase Exchange', 'CEX.IO', 'Bit-Z', 'Coinone', 'Kraken', 'Binance', 'EXX', 'Coinbase Exchange', 'CEX.IO', 'Bit-Z', 'Coinone', 'Kraken', 'Binance', 'EXX', 'HitBTC', 'Huobi Global', 'Huobi Global', 'Balancer (v2)', 'Upbit', 'YoBit', 'Korbit', 'Binance', 'Upbit', 'YoBit', 'Huobi Global', 'Bitstamp', 'Balancer (v1)', 'Coinbase Exchange', 'Gatecoin', 'Balancer (v1)']"
111,CORGI,"['PancakeSwap', 'PancakeSwap']"
112,LSK,"['Bit-Z', 'Binance', 'Kraken', 'Binance', 'Bit-Z', 'Binance', 'Kraken', 'Binance', 'Upbit', 'OKEx', 'Huobi Global', 'Binance', 'Huobi Global']"
113,ORN,"['KuCoin', 'KuCoin', 'HitBTC', 'Coinbase Exchange', 'Uniswap (v3)']"
114,MARA,"['Solarbeam', 'Solarbeam']"
115,KIN,"['YoBit', 'FTX', 'YoBit', 'FTX', 'Bitforex', 'HitBTC']"
116,rux,"['Trader Joe', 'Trader Joe', 'Trader Joe']"
117,SAVAX,"['Trader Joe', 'Trader Joe', 'Trader Joe', 'Trader Joe']"
118,DEUS,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)']"
119,UFT,"['Uniswap (v2)', 'Uniswap (v2)']"
120,KING,"['PancakeSwap', 'PancakeSwap']"
121,SUSHI,"['Sushiswap', 'Sushiswap', 'Sushiswap', 'Balancer (v2)', 'BTC-Alpha', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Balancer (v2)', 'Apeswap', 'CEX.IO', 'Sushiswap', 'Sushiswap', 'Sushiswap', 'Sushiswap', 'Sushiswap', 'Balancer (v2)', 'BTC-Alpha', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Balancer (v2)', 'Apeswap', 'CEX.IO', 'Sushiswap', 'Sushiswap', 'Uniswap (v2)', 'Huobi Global', 'Sushiswap', 'Sushiswap', 'Balancer (v1)', 'Balancer (v2)', 'BitBay', 'Uniswap (v2)', 'Uniswap (v2)', 'Sushiswap', 'Sushiswap', 'Uniswap (v2)', 'Sushiswap']"
122,shit,"['Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v2)']"
123,YAMV2,"['Uniswap (v2)', 'Uniswap (v2)']"
124,DEGEN,"['Uniswap (v3)', 'Uniswap (v3)']"
125,COUSD,"['SpookySwap', 'SpookySwap']"
126,ATIS,"['Uniswap (v2)', 'Uniswap (v2)']"
127,BPAD,"['PancakeSwap', 'PancakeSwap']"
128,TTB,"['PancakeSwap', 'PancakeSwap']"
129,PRB,"['PancakeSwap', 'PancakeSwap']"
130,ADD,"['Bithumb', 'Bithumb', 'Uniswap (v2)']"
131,TLM,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'KuCoin']"
132,MKX,"['PancakeSwap', 'PancakeSwap']"
133,BBADGER,"['Sushiswap', 'Sushiswap', 'Uniswap (v2)', 'Sushiswap']"
134,MKR,"['CoinEx', 'Bibox', 'Balancer (v2)', 'Uniswap (v2)', 'Liquid', 'Uniswap (v2)', 'Bitforex', 'CoinEx', 'Bibox', 'Balancer (v2)', 'Uniswap (v2)', 'Liquid', 'Uniswap (v2)', 'Bitforex', 'Uniswap (v2)', 'CoinEx', 'Uniswap (v2)', 'Balancer (v1)', 'Ethfinex', 'HitBTC', 'Balancer (v1)', 'Kraken']"
135,PAMP,"['Uniswap (v2)', 'Uniswap (v2)']"
136,lft,"['Uniswap (v2)', 'Uniswap (v2)']"
137,XEM,"['Upbit', 'Bittrex', 'OKEx', 'HitBTC', 'Upbit', 'Bittrex', 'OKEx', 'HitBTC', 'KuCoin', 'HitBTC', 'Cobinhood']"
138,SPACE,"['PancakeSwap', 'Sushiswap', 'PancakeSwap', 'Sushiswap']"
139,MANA,"['EXX', 'Bibox', 'Balancer (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'EXX', 'Bibox', 'Balancer (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Sushiswap', 'Gatecoin', 'KuCoin', 'EXX', 'Uniswap (v2)', 'Bitfinex', 'Uniswap (v2)', 'Coinbase Exchange']"
140,DUSD,"['Balancer (v1)', 'Balancer (v1)']"
141,UMA,"['Coinbase Exchange', 'Uniswap (v2)', 'Uniswap (v2)', 'Bittrex', 'HitBTC', 'CEX.IO', 'Coinbase Exchange', 'Uniswap (v2)', 'Uniswap (v2)', 'Bittrex', 'HitBTC', 'CEX.IO', 'Coinbase Exchange', 'CEX.IO']"
142,rho,"['Uniswap (v2)', 'Uniswap (v2)']"
143,WSYS,"['Apeswap', 'Apeswap']"
144,AAVE,"['EXX', 'BTC-Alpha', 'Balancer (v2)', 'Kraken', 'EXX', 'BTC-Alpha', 'Balancer (v2)', 'Kraken', 'Trader Joe', 'EXX', 'Huobi Global', 'Bibox', 'Uniswap (v2)', 'Binance', 'Bibox', 'Balancer (v2)', 'Uniswap (v3)', 'Balancer (v1)', 'Trader Joe', 'KuCoin', 'Balancer (v2)', 'Bittrex', 'Sushiswap', 'Uniswap (v2)', 'Binance', 'BigONE']"
145,BETR,"['HitBTC', 'HitBTC']"
146,MUSD,"['Curve', 'Curve', 'Balancer (v1)']"
147,TVT,"['YoBit', 'Uniswap (v2)', 'YoBit', 'Uniswap (v2)', 'YoBit', 'YoBit']"
148,FOR,"['Huobi Global', 'Hotbit', 'Huobi Global', 'Hotbit', 'Binance', 'Binance', 'Coinbase Exchange', 'Binance', 'Sushiswap']"
149,BUSD,"['PancakeSwap', 'Uniswap (v3)', 'PancakeSwap', 'Uniswap (v2)', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'BigONE', 'Balancer (v1)', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Uniswap (v3)', 'PancakeSwap', 'Uniswap (v2)', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'BigONE', 'Balancer (v1)', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'CEX.IO', 'Binance', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'Uniswap (v2)', 'PancakeSwap', 'Solarbeam', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'KuCoin', 'Apeswap', 'PancakeSwap', 'PancakeSwap', 'Solarbeam']"
150,BFT,"['Uniswap (v2)', 'Uniswap (v2)']"
151,WEAR,"['PancakeSwap', 'PancakeSwap']"
152,LBA,"['EXX', 'EXX', 'Huobi Global', 'OKEx', 'OKEx']"
153,HPB,"['KuCoin', 'KuCoin']"
154,BNX,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
155,TOTM,"['Uniswap (v2)', 'Uniswap (v2)']"
156,HIGH,"['Uniswap (v2)', 'Binance', 'Uniswap (v2)', 'Binance', 'Binance', 'Uniswap (v3)']"
157,LALA,"['Liquid', 'Liquid', 'Liquid', 'KuCoin', 'KuCoin']"
158,MOGX,"['Sushiswap', 'Sushiswap']"
159,BUCKS,"['YoBit', 'YoBit']"
160,TOMO,"['Binance', 'HitBTC', 'Binance', 'Binance', 'HitBTC', 'Binance', 'CoinEx', 'HitBTC', 'Binance', 'YoBit']"
161,PLC,"['Bibox', 'Bibox', 'Bitforex']"
162,CMT,"['Binance', 'Binance', 'YoBit', 'Binance', 'Binance', 'YoBit', 'CoinEx', 'OKEx', 'YoBit', 'Huobi Global']"
163,NEST,"['Uniswap (v3)', 'Uniswap (v3)', 'Coinbase Exchange']"
164,DERI,"['Sushiswap', 'Sushiswap']"
165,LYM,"['Huobi Global', 'Bitfinex', 'Uniswap (v2)', 'Huobi Global', 'Bitfinex', 'Uniswap (v2)', 'Ethfinex']"
166,OXT,"['Uniswap (v2)', 'Binance', 'Binance US', 'OKEx', 'Uniswap (v2)', 'Binance', 'Binance US', 'OKEx', 'Gemini', 'Binance', 'Kraken']"
167,ZLP,"['Uniswap (v2)', 'Uniswap (v2)']"
168,GNY,"['Uniswap (v2)', 'Uniswap (v2)', 'Sushiswap']"
169,GAMMA,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)']"
170,ATMI,"['Bitforex', 'Bitfinex', 'Bitforex', 'Bitfinex', 'Uniswap (v2)']"
171,BTRST,"['Coinbase Exchange', 'Coinbase Exchange', 'Coinbase Exchange']"
