,coin,exchange
12,WETH,"['Uniswap (v2)', 'PancakeSwap', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)', 'SpookySwap', 'PancakeSwap', 'Uniswap (v2)', 'Sushiswap', 'PancakeSwap', 'Uniswap (v2)', 'PancakeSwap', 'Sushiswap', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v2)', 'Balancer (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Balancer (v2)', 'Sushiswap', 'PancakeSwap', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v2)', 'PancakeSwap', 'Uniswap (v2)', 'Sushiswap', 'Sushiswap', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)', 'PancakeSwap', 'Sushiswap', 'Sushiswap', 'PancakeSwap', 'Uniswap (v3)', 'Uniswap (v3)', 'Balancer (v1)', 'Uniswap (v2)', 'Uniswap (v3)', 'Balancer (v2)', 'Uniswap (v2)', 'Sushiswap', 'Balancer (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v3)', 'Balancer (v1)', 'Balancer (v1)', 'Uniswap (v2)', 'Balancer (v1)', 'Uniswap (v2)', 'Uniswap (v2)', 'Sushiswap', 'Uniswap (v3)', 'Uniswap (v3)', 'Sushiswap', 'Uniswap (v3)', 'Trader Joe', 'Balancer (v1)', 'Balancer (v1)', 'Balancer (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'PancakeSwap', 'Uniswap (v2)', 'Balancer (v1)', 'Uniswap (v2)', 'Uniswap (v3)', 'Sushiswap', 'Uniswap (v3)', 'Uniswap (v2)', 'Sushiswap', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)', 'Sushiswap', 'Balancer (v1)', 'Ubeswap', 'PancakeSwap', 'Uniswap (v3)', 'Uniswap (v3)', 'Sushiswap', 'Uniswap (v3)', 'Uniswap (v3)', 'Sushiswap', 'PancakeSwap', 'Uniswap (v3)', 'Sushiswap', 'Uniswap (v2)', 'PancakeSwap', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v2)', 'PancakeSwap', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)', 'SpookySwap', 'PancakeSwap', 'Uniswap (v2)', 'Sushiswap', 'PancakeSwap', 'Uniswap (v2)', 'PancakeSwap', 'Sushiswap', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v2)', 'Balancer (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Balancer (v2)', 'Sushiswap', 'PancakeSwap', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v2)', 'PancakeSwap', 'Uniswap (v2)', 'Sushiswap', 'Sushiswap', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)', 'PancakeSwap', 'Sushiswap', 'Sushiswap', 'PancakeSwap', 'Uniswap (v3)', 'Uniswap (v3)', 'Balancer (v1)', 'Uniswap (v2)', 'Uniswap (v3)', 'Balancer (v2)', 'Uniswap (v2)', 'Sushiswap', 'Balancer (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v3)', 'Balancer (v1)', 'Balancer (v1)', 'Uniswap (v2)', 'Balancer (v1)', 'Uniswap (v2)', 'Uniswap (v2)', 'Sushiswap', 'Uniswap (v3)', 'Uniswap (v3)', 'Sushiswap', 'Uniswap (v3)', 'Trader Joe', 'Balancer (v1)', 'Balancer (v1)', 'Balancer (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'PancakeSwap', 'Uniswap (v2)', 'Balancer (v1)', 'Uniswap (v2)', 'Uniswap (v3)', 'Sushiswap', 'Uniswap (v3)', 'Uniswap (v2)', 'Sushiswap', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)', 'Sushiswap', 'Balancer (v1)', 'Ubeswap', 'PancakeSwap', 'Uniswap (v3)', 'Uniswap (v3)', 'Sushiswap', 'Uniswap (v3)', 'Uniswap (v3)', 'Sushiswap', 'PancakeSwap', 'Uniswap (v3)', 'Sushiswap', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Sushiswap', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'PancakeSwap', 'Uniswap (v2)', 'Uniswap (v3)', 'Sushiswap', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Balancer (v2)', 'Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'PancakeSwap', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Apeswap', 'Uniswap (v2)', 'Uniswap (v2)', 'Balancer (v2)', 'Balancer (v1)', 'Balancer (v1)', 'PancakeSwap', 'Sushiswap', 'Balancer (v1)', 'PancakeSwap', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Balancer (v1)', 'Sushiswap', 'Sushiswap', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v3)', 'Balancer (v1)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Balancer (v1)', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v2)', 'Trader Joe', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Sushiswap', 'Sushiswap', 'Uniswap (v3)', 'Balancer (v1)', 'Sushiswap', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)', 'Balancer (v2)', 'Uniswap (v2)', 'Sushiswap', 'Sushiswap', 'Balancer (v1)', 'Uniswap (v3)', 'Sushiswap', 'Ubeswap', 'Balancer (v2)', 'Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v2)', 'Balancer (v1)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v3)', 'Solarbeam', 'Uniswap (v2)', 'Balancer (v1)', 'Uniswap (v3)', 'Sushiswap', 'PancakeSwap', 'Balancer (v2)', 'Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v3)', 'Sushiswap', 'Uniswap (v2)', 'Uniswap (v2)', 'Sushiswap', 'PancakeSwap', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)', 'PancakeSwap', 'Balancer (v1)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v2)', 'Balancer (v2)', 'Balancer (v1)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'PancakeSwap', 'Apeswap', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Balancer (v2)', 'Balancer (v1)', 'Uniswap (v3)', 'Sushiswap', 'Sushiswap', 'PancakeSwap', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Balancer (v1)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v3)', 'Sushiswap', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v3)', 'Uniswap (v2)', 'Sushiswap', 'PancakeSwap', 'Uniswap (v3)', 'PancakeSwap', 'Balancer (v1)', 'Uniswap (v2)', 'SpookySwap', 'Balancer (v1)', 'Uniswap (v2)', 'Balancer (v2)', 'Sushiswap', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)']"
13,NGC,"['EXX', 'Uniswap (v2)', 'Bittrex', 'EXX', 'EXX', 'Uniswap (v2)', 'Bittrex']"
14,DENT,"['Uniswap (v2)', 'Binance', 'Uniswap (v2)', 'Uniswap (v2)', 'Binance', 'FTX', 'Uniswap (v2)', 'OKEx']"
15,BTC,"['Bitstamp', 'LocalBitcoins', 'EXX', 'TheRockTrading', 'ACX', 'LocalBitcoins', 'CEX.IO', 'Liquid', 'Upbit', 'HitBTC', 'Liquid', 'Liquid', 'Kraken', 'Binance US', 'Coinfloor', 'Bl3p', 'CEX.IO', 'Gatecoin', 'Allcoin', 'Bitstamp', 'Bitstamp', 'LocalBitcoins', 'EXX', 'TheRockTrading', 'ACX', 'LocalBitcoins', 'CEX.IO', 'Liquid', 'Upbit', 'HitBTC', 'Liquid', 'Liquid', 'Kraken', 'Binance US', 'Coinfloor', 'Bl3p', 'CEX.IO', 'Gatecoin', 'Allcoin', 'LocalBitcoins', 'TheRockTrading', 'HitBTC', 'Binance', 'Cobinhood', 'Bittrex', 'HitBTC', 'BeQuant', 'BTCC', 'AnyBits', 'Liquid', 'Bitso', 'Tidebit', 'Huobi Global', 'HitBTC', 'ZB', 'Bitfinex', 'Bitforex', 'BitBay', 'LocalBitcoins', 'Binance', 'Liquid', 'LocalBitcoins', 'Bitibu', 'HitBTC', 'KuCoin', 'BtcTurk PRO', 'LocalBitcoins', 'Bitibu', 'Binance', 'Kraken', 'KuCoin', 'LocalBitcoins', 'Binance']"
16,SPIRIT,"['SpiritSwap', 'SpiritSwap', 'SpiritSwap', 'SpiritSwap', 'SpiritSwap', 'SpiritSwap', 'SpiritSwap', 'SpiritSwap', 'SpiritSwap']"
17,SHUF,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)']"
18,ETH,"['Binance', 'Bitstamp', 'Tidebit', 'HitBTC', 'ZB', 'Binance', 'Bitso', 'Liquid', 'Gemini', 'Binance', 'BtcTurk PRO', 'Binance', 'Binance US', 'Gemini', 'Kraken', 'Upbit', 'Cobinhood', 'Ethfinex', 'EXX', 'Bitstamp', 'Coinbase Exchange', 'Binance', 'CEX.IO', 'ACX', 'Bittrex', 'Currency.com', 'YoBit', 'Binance', 'Bitstamp', 'Binance', 'Bitstamp', 'Tidebit', 'HitBTC', 'ZB', 'Binance', 'Bitso', 'Liquid', 'Gemini', 'Binance', 'BtcTurk PRO', 'Binance', 'Binance US', 'Gemini', 'Kraken', 'Upbit', 'Cobinhood', 'Ethfinex', 'EXX', 'Bitstamp', 'Coinbase Exchange', 'Binance', 'CEX.IO', 'ACX', 'Bittrex', 'Currency.com', 'YoBit', 'CoinEx', 'BTC-Alpha', 'EXX', 'LMAX', 'Liquid', 'Hotbit', 'BeQuant', '', 'BitBay', 'Uniswap (v2)', 'CoinMate', 'FTX', 'TheRockTrading', 'BeQuant', 'LMAX', 'CoinMate', 'Stronghold', 'FTX', 'Coinone', 'Liquid', 'Binance', 'KuCoin', 'EXX', 'Okcoin', 'ACX', 'Poloniex', 'KuCoin', 'KuCoin', 'Bitfinex', 'HitBTC', 'Tidebit', 'Ethfinex', 'KuCoin', 'YoBit', 'Bitfinex', 'PancakeSwap']"
19,IRIS,"['Huobi Global', 'Hotbit', 'Huobi Global', 'Huobi Global', 'Hotbit', 'Binance', 'Binance']"
20,ARGUS,"['YoBit', 'YoBit', 'YoBit']"
21,PKT,"['YoBit', 'YoBit', 'YoBit']"
